,date,FB,SQ
657,('2016-02-11', '101.91', '8.62')
1339,('2016-02-10', '101.0', '8.88')
1340,('2016-02-09', '99.54', '8.62')
658,('2016-02-08', '99.75', '8.37')
659,('2016-02-05', '104.07', '8.63')
660,('2016-02-04', '110.49', '8.9')
1341,('2016-02-03', '112.69', '8.43')
661,('2016-02-02', '114.61', '8.47')
1342,('2016-02-01', '115.09', '8.76')
662,('2016-01-29', '112.21', '8.77')
1343,('2016-01-28', '109.11', '8.74')
663,('2016-01-27', '94.45', '9.05')
664,('2016-01-26', '97.34', '9.54')
1344,('2016-01-25', '97.01', '9.81')
665,('2016-01-22', '97.94', '9.85')
666,('2016-01-21', '94.16', '10.02')
1345,('2016-01-20', '94.35', '9.49')
667,('2016-01-19', '95.26', '9.47')
668,('2016-01-15', '94.97', '10.27')
1346,('2016-01-14', '98.37', '10.82')
1347,('2016-01-13', '95.44', '11.61')
669,('2016-01-12', '99.37', '12.09')
1348,('2016-01-11', '97.51', '11.84')
670,('2016-01-08', '97.33', '11.31')
1349,('2016-01-07', '97.92', '11.16')
671,('2016-01-06', '102.97', '11.52')
1350,('2016-01-05', '102.73', '11.51')
1351,('2016-01-04', '102.22', '12.16')
1352,('2015-12-31', '104.66', '13.09')
672,('2015-12-30', '106.22', '12.78')
673,('2015-12-29', '107.26', '12.74')
1353,('2015-12-28', '105.93', '12.83')
1354,('2015-12-24', '105.02', '12.6')
674,('2015-12-23', '104.63', '12.5')
1355,('2015-12-22', '105.51', '12.46')
675,('2015-12-21', '104.77', '12.24')
1356,('2015-12-18', '104.04', '12.34')
676,('2015-12-17', '106.22', '12.32')
1357,('2015-12-16', '106.79', '12.27')
677,('2015-12-15', '104.55', '12.47')
1358,('2015-12-14', '104.66', '12.33')
678,('2015-12-11', '102.12', '11.95')
679,('2015-12-10', '105.42', '12.05')
1359,('2015-12-09', '104.6', '11.99')
1360,('2015-12-08', '106.49', '12.12')
1361,('2015-12-07', '105.61', '12.36')
680,('2015-12-04', '106.18', '12.04')
1362,('2015-12-03', '104.38', '11.92')
681,('2015-12-02', '106.07', '11.93')
682,('2015-12-01', '107.12', '11.91')
1363,('2015-11-30', '104.24', '12.04')
1364,('2015-11-27', '105.45', '12.05')
683,('2015-11-25', '105.41', '11.9')
684,('2015-11-24', '105.74', '12.02')
1365,('2015-11-23', '106.95', '12.12')
685,('2015-11-20', '107.32', '12.85')
686,('2015-11-19', '106.26', '13.07')
